name,base_year,name_eng,code
전주시완산구,2018,Jeonjusiwansangu,35011
전주시덕진구,2018,Jeonjusideokjingu,35012
군산시,2018,Gunsan-si,35020
익산시,2018,Iksan-si,35030
정읍시,2018,Jeongeup-si,35040
남원시,2018,Namwon-si,35050
김제시,2018,Gimje-si,35060
완주군,2018,Wanju-gun,35310
진안군,2018,Jinan-gun,35320
무주군,2018,Muju-gun,35330
장수군,2018,Jangsu-gun,35340
임실군,2018,Imsil-gun,35350
순창군,2018,Sunchang-gun,35360
고창군,2018,Gochang-gun,35370
부안군,2018,Buan-gun,35380
목포시,2018,Mokpo-si,36010
여수시,2018,Yeosu-si,36020
순천시,2018,Suncheon-si,36030
나주시,2018,Naju-si,36040
광양시,2018,Gwangyang-si,36060
담양군,2018,Damyang-gun,36310
곡성군,2018,Gokseong-gun,36320
구례군,2018,Gurye-gun,36330
고흥군,2018,Goheung-gun,36350
보성군,2018,Boseong-gun,36360
화순군,2018,Hwasun-gun,36370
장흥군,2018,Jangheung-gun,36380
강진군,2018,Gangjin-gun,36390
해남군,2018,Haenam-gun,36400
영암군,2018,Yeongam-gun,36410
무안군,2018,Muan-gun,36420
함평군,2018,Hampyeong-gun,36430
영광군,2018,Yeonggwang-gun,36440
장성군,2018,Jangseong-gun,36450
완도군,2018,Wando-gun,36460
진도군,2018,Jindo-gun,36470
신안군,2018,Sinan-gun,36480
포항시남구,2018,Nam-gu,37011
포항시북구,2018,Buk-gu,37012
경주시,2018,Gyeongju-si,37020
김천시,2018,Gimcheon-si,37030
안동시,2018,Andong-si,37040
구미시,2018,Gumi-si,37050
영주시,2018,Yeongju-si,37060
영천시,2018,Yeongcheon-si,37070
상주시,2018,Sangju-si,37080
문경시,2018,Mungyeong-si,37090
경산시,2018,Gyeongsan-si,37100
군위군,2018,Gunwi-gun,37310
의성군,2018,Uiseong-gun,37320
청송군,2018,Cheongsong-gun,37330
영양군,2018,Yeongyang-gun,37340
영덕군,2018,Yeongdeok-gun,37350
청도군,2018,Cheongdo-gun,37360
고령군,2018,Goryeong-gun,37370
성주군,2018,Seongju-gun,37380
칠곡군,2018,Chilgok-gun,37390
예천군,2018,Yecheon-gun,37400
봉화군,2018,Bonghwa-gun,37410
울진군,2018,Uljin-gun,37420
울릉군,2018,Ulleung-gun,37430
진주시,2018,Jinju-si,38030
통영시,2018,Tongyeong-si,38050
사천시,2018,Sacheon-si,38060
김해시,2018,Gimhae-si,38070
밀양시,2018,Miryang-si,38080
거제시,2018,Geoje-si,38090
양산시,2018,Yangsan-si,38100
창원시의창구,2018,Uichanggu,38111
창원시성산구,2018,Seongsangu,38112
창원시마산합포구,2018,Masanhappogu,38113
창원시마산회원구,2018,Masanhoewongu,38114
창원시진해구,2018,Jinhaegu,38115
의령군,2018,Uiryeong-gun,38310
함안군,2018,Haman-gun,38320
창녕군,2018,Changnyeong-gun,38330
고성군,2018,Goseong-gun,38340
남해군,2018,Namhae-gun,38350
하동군,2018,Hadong-gun,38360
산청군,2018,Sancheong-gun,38370
함양군,2018,Hamyang-gun,38380
거창군,2018,Geochang-gun,38390
합천군,2018,Hapcheon-gun,38400
제주시,2018,Jeju-si,39010
서귀포시,2018,Seogwipo-si,39020
